order_id,customer_id,product_id,jumlah,harga_satuan,status,waktu_beli,waktu_masuk
T00073,C001,P11,1,540000,KIRIM,2026-03-02 09:03:18,2026-03-02 09:25:11
T00074,C027,P20,1,430000,KIRIM,2026-03-02 14:53:07,2026-03-02 14:53:36
T00075,C091,P04,1,21000, kirim ,2026-03-02 08:15:45,2026-03-02 08:41:08
T00076,C064,P04,3,19950, kirim ,2026-03-02 12:12:00,2026-03-02 12:38:03
T00077,C025,P16,3,125000,bayar,2026-03-02 12:17:53,2026-03-02 12:18:29
T00078,C001,P14,1,294500,Bayar,2026-03-02 11:05:37,2026-03-02 11:29:16
T00079,C059,P16,3,125000,BAYAR ,2026-03-02 11:08:29,2026-03-02 11:09:18
T00080,C049,P14,1,310000,KIRIM,2026-03-02 08:23:50,2026-03-02 08:24:21
T00081,C059,P19,1,89000,Bayar,2026-03-02 11:01:18,2026-03-02 11:09:48
T00082,C089,P03,1,38000, Bayar,2026-03-02 12:16:24,2026-03-02 12:16:41
T00083,C070,P13,1,385000,BAYAR ,2026-03-02 10:52:56,2026-03-02 10:53:45
T00084,C091,P08,2,411750,kirim,2026-03-02 14:47:50,2026-03-02 14:47:57
T00085,C056,P02,1,66300,BAYAR ,2026-03-02 10:57:09,2026-03-02 10:57:28
T00086,C019,P13,1,365750,Batal,2026-03-02 13:38:26,2026-03-02 13:38:58
T00086,C019,P13,1,365750,Batal,2026-03-02 13:38:26,2026-03-02 13:38:58
T00087,C045,P15,3,232750,Bayar,2026-03-02 10:37:05,2026-03-02 10:37:16
T00088,C031,P10,1,256500, Bayar,2026-03-02 09:48:47,2026-03-02 10:47:54
T00089,C007,P13,2,288750,KIRIM,2026-03-02 10:29:54,2026-03-02 10:30:38
T00090,C097,P12,2,1250000,bayar,2026-03-02 09:59:36,2026-03-02 10:00:16
T00091,C017,P10,1,270750, Bayar,2026-03-02 15:10:41,2026-03-02 15:11:19
T00092,C035,P05,2,71250,Bayar,2026-03-02 15:09:32,2026-03-02 15:09:56
T00093,C029,P11,2,612000, Bayar,2026-03-02 15:19:13,2026-03-02 15:19:18
T00094,C087,P09,1,272000, kirim ,2026-03-02 12:53:02,2026-03-02 12:53:26
T00095,C079,P08,1,549000,Bayar,2026-03-02 12:17:29,2026-03-02 12:18:05
T00096,C064,P14,1,310000,BAYAR ,2026-03-02 09:03:43,2026-03-02 09:03:46
T00097,C054,P18,1,146250,Bayar,2026-03-02 11:48:53,2026-03-02 11:49:40
T00098,C013,P12,3,1125000, kirim ,2026-03-02 09:58:39,2026-03-02 09:58:55
T00099,C059,P02,1,78000,batal,2026-03-02 11:37:26,2026-03-02 11:37:34
T00100,C071,P05,1,75000,kirim,2026-03-02 15:09:47,2026-03-02 15:09:52
T00101,C070,P20,1,430000,batal,2026-03-02 08:01:32,2026-03-02 08:01:42
T00101,C070,P20,1,430000,batal,2026-03-02 08:01:32,2026-03-02 08:01:42
T00102,C003,P01,1,32000,BAYAR ,2026-03-02 11:15:38,2026-03-02 11:15:54
T00103,C014,P03,1,38000,bayar,2026-03-02 12:20:05,2026-03-02 12:20:29
T00104,C062,P17,2,140250,bayar,2026-03-02 10:44:43,2026-03-02 10:44:45
T00105,C036,P03,1,34200,Bayar,2026-03-02 08:44:07,2026-03-02 08:44:17
T00106,C015,P15,2,245000,KIRIM,2026-03-02 12:36:05,2026-03-02 12:36:12
T00107,C041,P11,1,684000,KIRIM,2026-03-02 15:31:52,2026-03-02 15:32:19
T00108,C013,P16,2,112500,BAYAR ,2026-03-02 08:36:39,2026-03-02 08:36:45
T00109,C086,P18,3,165750,bayar,2026-03-02 13:06:45,2026-03-02 13:06:53
T00110,C062,P12,1,1250000, Bayar,2026-03-02 08:56:34,2026-03-02 08:56:48
T00111,C099,P09,2,320000, kirim ,2026-03-02 13:13:32,2026-03-02 13:14:00
T00112,C044,P09,1,320000,kirim,2026-03-02 08:15:48,2026-03-02 08:16:33
T00113,C068,P05,1,63750,Bayar,2026-03-02 14:44:40,2026-03-02 14:44:42
T00114,C007,P11,1,720000,bayar,2026-03-02 15:04:15,2026-03-02 15:29:25
T00115,C066,P16,1,106250,bayar,2026-03-02 13:31:32,2026-03-02 13:31:50
T00116,C077,P16,1,125000, Bayar,2026-03-02 12:47:46,2026-03-02 12:47:49
T00117,C056,P09,1,272000,BAYAR ,2026-03-02 10:38:04,2026-03-02 10:38:05
T00118,C003,P12,1,1250000, Bayar,2026-03-02 08:39:21,2026-03-02 08:40:09
T00119,C022,P14,2,232500,Batal,2026-03-02 10:38:06,2026-03-02 10:38:08
T00120,C040,P08,2,549000, Bayar,2026-03-02 11:57:56,2026-03-02 11:58:30
T00121,C094,P04,3,21000,BAYAR ,2026-03-02 12:49:46,2026-03-02 12:50:36
T00122,C023,P06,3,141750,KIRIM,2026-03-02 13:28:59,2026-03-02 13:29:48
T00123,C080,P15,1,220500,kirim,2026-03-02 14:11:59,2026-03-02 14:22:37
T00124,C010,P10,1,213750,bayar,2026-03-02 15:14:54,2026-03-02 15:14:58
T00125,C065,P03,1,38000,Bayar,2026-03-02 13:52:04,2026-03-02 13:54:36
T00126,C008,P07,1,238500,bayar,2026-03-02 10:55:35,2026-03-02 10:56:08
T00127,C079,P08,1,494100, Bayar,2026-03-02 14:26:27,2026-03-02 14:26:56
T00128,C043,P20,1,365500, Bayar,2026-03-02 08:28:35,2026-03-02 08:29:17
T00129,C019,P20,2,408500,Bayar,2026-03-02 15:56:55,2026-03-02 15:57:01
T00130,C017,P03,1,38000, kirim ,2026-03-02 10:49:04,2026-03-02 10:49:46
T00131,C099,P01,1,32000,BAYAR ,2026-03-02 11:18:01,2026-03-02 11:18:15
T00132,C068,P04,1,18900, kirim ,2026-03-02 12:37:15,2026-03-02 12:38:09
T00133,C022,P06,2,189000,KIRIM,2026-03-02 09:38:45,2026-03-02 09:39:35
T00134,C030,P15,1,232750,KIRIM,2026-03-02 13:33:27,2026-03-02 13:34:15
T00135,C065,P19,1,89000,kirim,2026-03-02 12:00:37,2026-03-02 12:00:56
T00136,C014,P09,2,320000, Bayar,2026-03-02 08:28:29,2026-03-02 08:28:53
T00137,C029,P15,2,220500,bayar,2026-03-02 12:40:21,2026-03-02 12:40:49
T00138,C004,P12,1,1250000, Bayar,2026-03-02 10:08:45,2026-03-02 10:08:51
T00139,,P10,1,285000,bayar,2026-03-02 15:33:09,2026-03-02 15:34:03
T00140,C037,P18,1,195000,bayar,2026-03-02 14:37:10,2026-03-02 14:37:38
T00141,C077,P20,1,430000,batal,2026-03-02 12:09:38,2026-03-02 12:10:32
T00141,C077,P20,1,430000,batal,2026-03-02 12:09:38,2026-03-02 12:10:32
T00142,C011,P12,1,1125000,kirim,2026-03-02 10:11:22,2026-03-02 10:11:34
T00143,C050,P17,3,156750,bayar,2026-03-02 13:02:38,2026-03-02 13:03:09
T00144,C095,P08,2,549000,kirim,2026-03-02 14:40:17,2026-03-02 14:40:24
T00145,C062,P06,1,189000,batal,2026-03-02 15:33:30,2026-03-02 15:34:00
T00146,C006,P02,1,74100,Bayar,2026-03-02 10:40:15,2026-03-02 10:41:06
T00147,C100,P09,1,288000, Bayar,2026-03-02 08:19:59,2026-03-02 08:20:12
T00148,C024,P13,1,288750, Bayar,2026-03-02 14:45:56,2026-03-02 14:46:21
T00149,C024,P03,1,34200,bayar,2026-03-02 14:37:05,2026-03-02 14:37:33
T00150,C057,P10,1,285000, Bayar,2026-03-02 12:03:31,2026-03-02 12:03:59
T00151,C096,P02,1,78000,BAYAR ,2026-03-02 08:40:58,2026-03-02 08:41:24
T00152,C047,P15,1,245000, kirim ,2026-03-02 08:19:00,2026-03-02 08:19:16
T00153,C068,P12,1,1125000, Bayar,2026-03-02 11:23:10,2026-03-02 11:23:15
T00154,C100,P06,1,141750,BAYAR ,2026-03-02 12:32:32,2026-03-02 12:33:08
T00155,C023,P16,2,93750,bayar,2026-03-02 09:49:19,2026-03-02 09:50:14
T00156,C038,P11,2,720000,BAYAR ,2026-03-02 14:04:43,2026-03-02 14:04:48
T00157,C004,P04,1,18900,KIRIM,2026-03-02 09:49:45,2026-03-02 09:50:01
T00158,C093,P20,1,365500,Batal,2026-03-02 08:47:05,2026-03-02 08:47:31
T00159,C045,P11,1,720000,kirim,2026-03-02 13:50:48,2026-03-02 13:51:18
T00160,C021,P02,1,78000, Bayar,2026-03-02 15:34:03,2026-03-02 15:34:13
T00161,C071,P10,1,270750, kirim ,2026-03-02 15:41:59,2026-03-02 15:42:12
T00162,C080,P06,2,170100,bayar,2026-03-02 13:23:12,2026-03-02 13:40:49
T00162,C080,P06,2,170100,bayar,2026-03-02 13:23:12,2026-03-02 13:40:49
T00163,C099,P02,1,78000,KIRIM,2026-03-02 13:50:19,2026-03-02 13:50:36
T00164,C039,P10,1,285000,kirim,2026-03-02 12:23:45,2026-03-02 12:24:37
T00165,C041,P07,2,238500,KIRIM,2026-03-02 11:05:47,2026-03-02 11:06:08
T00166,C058,P18,1,195000,bayar,2026-03-02 08:57:59,2026-03-02 08:58:29
T00167,C074,P20,2,430000,kirim,2026-03-02 11:48:21,2026-03-02 11:48:32
T00168,C065,P16,1,125000,batal,2026-03-02 10:48:30,2026-03-02 10:48:36
T00169,C061,P10,1,285000,kirim,2026-03-02 12:30:16,2026-03-02 12:31:10
T00170,C073,P12,1,1125000, Bayar,2026-03-02 14:57:10,2026-03-02 14:57:13
T00171,C016,P18,1,195000,KIRIM,2026-03-02 10:32:45,2026-03-02 10:33:25
T00172,C052,P18,1,195000,bayar,2026-03-02 11:19:40,2026-03-02 11:19:53
T00173,C018,P16,1,112500,batal,2026-03-02 12:43:37,2026-03-02 12:44:16
T00174,C063,P10,2,270750,Bayar,2026-03-02 13:24:15,2026-03-02 13:25:09
T00175,C089,P04,1,15750,Batal,2026-03-02 11:47:29,2026-03-02 11:48:20
T00176,C022,P19,1,75650,BAYAR ,2026-03-02 13:15:27,2026-03-02 13:15:31
T00177,C054,P19,1,89000,Bayar,2026-03-02 14:22:34,2026-03-02 14:22:36
T00178,C018,P16,1,112500,Bayar,2026-03-02 15:56:40,2026-03-02 15:57:27
T00179,C087,P06,2,179550,Bayar,2026-03-02 12:11:02,2026-03-02 12:17:52
T00180,C091,P18,1,146250,KIRIM,2026-03-02 10:43:01,2026-03-02 10:43:21
T00181,C051,P09,2,320000, Bayar,2026-03-02 10:37:10,2026-03-02 10:37:54
T00182,C062,P03,1,36100, Bayar,2026-03-02 11:09:09,2026-03-02 11:21:20
T00183,C029,P19,1,89000,batal,2026-03-02 10:10:40,2026-03-02 10:11:23
T00184,C021,P04,1,15750,Batal,2026-03-02 14:12:01,2026-03-02 14:12:02
T00185,C012,P10,1,285000,batal,2026-03-02 10:55:24,2026-03-02 10:55:28
T00186,C024,P06,0,179550,kirim,2026-03-02 08:19:50,2026-03-02 09:03:23
T00187,C064,P11,2,720000,Bayar,2026-03-02 10:35:24,2026-03-02 10:36:06
T00188,C024,P11,1,648000, Bayar,2026-03-02 09:28:44,2026-03-02 09:29:26
T00189,C066,P06,1,160650, kirim ,2026-03-02 13:33:39,2026-03-02 13:41:34
T00190,C031,P16,1,118750, Bayar,2026-03-02 10:56:43,2026-03-02 11:11:49
T00191,C086,P01,1,30400,BAYAR ,2026-03-02 10:22:50,2026-03-02 10:23:35
T00192,C029,P10,1,285000,Bayar,2026-03-02 14:16:59,2026-03-02 14:17:18
T00193,C097,P20,1,430000,batal,2026-03-02 11:24:02,2026-03-02 11:24:38
T00194,C073,P03,1,38000,BAYAR ,2026-03-02 12:46:59,2026-03-02 12:47:45
T00195,C012,P15,2,183750,bayar,2026-03-02 09:03:28,2026-03-02 09:04:14
T00196,C040,P15,2,208250,KIRIM,2026-03-02 13:07:58,2026-03-02 13:08:28
T00197,C070,P19,3,89000,pending,2026-03-02 08:39:53,2026-03-02 08:40:16
T00198,C054,P05,1,63750,KIRIM,2026-03-02 14:58:14,2026-03-02 14:59:01
T00199,C018,P13,1,346500,kirim,2026-03-02 08:43:49,2026-03-02 08:44:32
T00200,C097,P17,1,156750,KIRIM,2026-03-02 09:09:32,2026-03-02 09:09:47
T00201,C020,P18,1,195000,bayar,2026-03-02 11:27:08,2026-03-02 11:27:24
T00202,C058,P01,1,32000,BAYAR ,2026-03-02 10:11:26,2026-03-02 10:11:33
T00203,C065,P08,3,549000, Bayar,2026-03-02 12:54:46,2026-03-02 12:55:36
T00204,C067,P11,1,684000,Batal,2026-03-02 10:09:22,2026-03-02 10:09:32
T00205,C045,P06,3,160650, Bayar,2026-03-02 13:41:52,2026-03-02 13:42:28
T00206,C029,P10,1,285000,Bayar,2026-03-02 11:25:35,2026-03-02 11:26:10
T00207,C027,P14,1,310000,Bayar,2026-03-02 13:04:21,2026-03-02 13:04:46
T00208,C006,P07,2,265000,BAYAR ,2026-03-02 08:28:08,2026-03-02 08:28:52
T00209,C025,P11,3,720000,Bayar,2026-03-02 10:45:34,2026-03-02 11:00:49
T00210,C037,P07,1,238500, Bayar,2026-03-02 11:36:36,2026-03-02 11:47:01
T00211,C041,P16,2,112500, Bayar,2026-03-02 12:14:30,2026-03-02 12:15:17
T00212,C075,P08,1,466650, Bayar,2026-03-02 14:44:49,2026-03-02 14:45:06
T00213,C088,P13,1,288750,Bayar,2026-03-02 13:11:10,2026-03-02 13:11:42
T00214,C070,P12,3,1250000,bayar,2026-03-02 09:32:26,2026-03-02 09:33:01
T00215,C030,P02,1,78000,kirim,2026-03-02 14:57:25,2026-03-02 14:57:34
T00216,C085,P99,1,78000,Batal,2026-03-02 13:37:25,2026-03-02 13:38:05
T00217,C023,P10,1,285000, kirim ,2026-03-02 08:09:21,2026-03-02 08:10:06
T00218,C011,P17,1,140250,KIRIM,2026-03-02 10:17:51,2026-03-02 10:18:09
T00219,C084,P08,2,549000,Bayar,2026-03-02 10:43:49,2026-03-02 10:44:44
T00220,C056,P02,1,70200,bayar,2026-03-02 13:47:44,2026-03-02 13:47:55
T00221,C061,P08,1,549000,Batal,2026-03-02 09:55:27,2026-03-02 10:08:15
T00222,C027,P02,1,66300,bayar,2026-03-02 09:37:57,2026-03-02 09:44:19
T00223,C043,P19,1,89000,batal,2026-03-02 15:35:49,2026-03-02 15:36:33
T00224,C078,P99,2,66300, Bayar,2026-03-02 08:53:20,2026-03-02 08:54:14
T00225,C056,P15,1,208250,batal,2026-03-02 12:27:56,2026-03-02 12:28:32
T00226,C092,P08,2,549000,Bayar,2026-03-02 14:29:27,2026-03-02 14:29:45
T00227,C017,P01,1,27200,Bayar,2026-03-02 10:48:21,2026-03-02 10:49:10
T00228,C077,P04,2,17850,bayar,2026-03-02 08:14:20,2026-03-02 08:14:56
T00229,C022,P03,1,38000,BAYAR ,2026-03-02 14:35:51,2026-03-02 14:40:59
T00230,C062,P05,2,67500, Bayar,2026-03-02 08:34:33,2026-03-02 08:34:51
T00231,C039,P16,1,106250, Bayar,2026-03-02 13:24:17,2026-03-02 13:24:47
T00232,C084,P11,3,720000,KIRIM,2026-03-02 12:00:25,2026-03-02 12:01:18
T00233,C038,P07,2,198750,batal,2026-03-02 12:21:36,2026-03-02 12:22:02
T00234,C070,P13,1,385000,Bayar,2026-03-02 11:19:20,2026-03-02 11:19:57
T00235,C053,P10,1,285000, kirim ,2026-03-02 15:33:59,2026-03-02 15:34:52
T00236,C077,P05,1,63750,Bayar,2026-03-02 14:30:36,2026-03-02 14:31:01
T00237,C011,P12,1,1250000, Bayar,2026-03-02 14:23:11,2026-03-02 14:33:20
T00238,C043,P99,3,75650,batal,2026-03-02 13:52:16,2026-03-02 13:52:42
T00239,C048,P17,1,165000, Bayar,2026-03-02 13:04:44,2026-03-02 13:05:21
T00240,C094,P10,1,270750, Bayar,2026-03-02 11:47:10,2026-03-02 11:49:37
T00241,C058,P16,1,118750,kirim,2026-03-02 11:10:13,2026-03-02 11:10:42
T00242,C095,P11,1,720000,BAYAR ,2026-03-02 13:53:52,2026-03-02 13:54:44
T00243,C082,P15,1,208250,bayar,2026-03-02 10:06:37,2026-03-02 10:07:18
T00244,C027,P15,1,245000, kirim ,2026-03-02 13:23:25,2026-03-02 13:23:26
T00245,C086,P06,2,170100,Bayar,2026-03-02 11:19:46,2026-03-02 11:20:16
T00246,C087,P12,2,1187500,bayar,2026-03-02 11:12:13,2026-03-02 11:12:53
T00247,C066,P08,1,549000, kirim ,2026-03-02 10:46:46,2026-03-02 10:47:10
T00248,C063,P18,1,195000, Bayar,2026-03-02 14:18:42,2026-03-02 14:22:39
T00249,C072,P12,1,937500,KIRIM,2026-03-02 08:05:14,2026-03-02 08:05:27
T00250,C098,P15,1,245000, Bayar,2026-03-02 12:26:53,2026-03-02 12:27:30
T00251,C066,P15,1,245000, Bayar,2026-03-02 13:08:55,2026-03-02 13:09:45
T00252,C057,P12,1,1062500,kirim,2026-03-02 12:56:01,2026-03-02 12:56:04
T00253,C045,P08,2,549000,Bayar,2026-03-02 10:42:35,2026-03-02 10:44:08
T00254,C091,P08,1,466650,kirim,2026-03-02 09:54:37,2026-03-02 09:55:15
T00255,C077,P07,1,238500, Bayar,2026-03-02 15:19:52,2026-03-02 15:20:15
T00256,C053,P17,2,156750,batal,2026-03-02 14:10:59,2026-03-02 14:11:08
T00257,C087,P05,1,75000, kirim ,2026-03-02 14:28:30,2026-03-02 14:28:46
T00258,C012,P13,1,365750,Batal,2026-03-02 12:06:50,2026-03-02 12:07:41
T00259,C059,P19,1,80100,bayar,2026-03-02 08:01:21,2026-03-02 08:14:51
T00260,C037,P14,1,310000,Bayar,2026-03-02 15:30:28,2026-03-02 15:30:46
T00261,C003,P02,1,78000,KIRIM,2026-03-02 08:25:05,2026-03-02 08:25:56
T00262,C039,P14,1,294500,batal,2026-03-02 09:50:29,2026-03-02 10:24:59
T00263,C081,P12,1,1250000,Bayar,2026-03-02 14:02:54,2026-03-02 14:06:43
T00264,C067,P01,1,32000,bayar,2026-03-02 09:56:33,2026-03-02 09:56:42
T00265,C012,P14,2,310000,bayar,2026-03-02 14:19:02,2026-03-02 14:19:07
T00266,C083,P05,3,75000,kirim,2026-03-02 11:29:01,2026-03-02 11:29:50
T00266,C083,P05,3,75000,kirim,2026-03-02 11:29:01,2026-03-02 11:29:50
T00267,C020,P06,2,141750,kirim,2026-03-02 12:00:21,2026-03-02 12:00:35
T00268,C041,P04,2,21000,Batal,2026-03-02 13:21:59,2026-03-02 13:22:22
T00269,C089,P20,1,408500,kirim,2026-03-02 13:27:41,2026-03-02 13:28:00
T00270,C031,P13,1,385000,batal,2026-03-02 10:41:24,2026-03-02 10:42:15
T00271,C073,P17,1,165000,Bayar,2026-03-02 08:06:35,2026-03-02 08:47:23
T00272,C008,P01,3,27200, Bayar,2026-03-02 13:20:46,2026-03-02 13:21:03
T00273,C069,P14,1,294500,kirim,2026-03-02 11:51:19,2026-03-02 11:51:25
T00274,C082,P07,2,265000, Bayar,2026-03-02 15:21:18,2026-03-02 15:21:39
T00275,C079,P08,1,521550,BAYAR ,2026-03-02 08:31:37,2026-03-02 08:32:05
T00276,C093,P01,1,28800,BAYAR ,2026-03-02 09:29:28,2026-03-02 09:29:51
T00277,C035,P04,1,19950, kirim ,2026-03-02 15:01:18,2026-03-02 15:08:01
T00278,C073,P16,1,125000, Bayar,2026-03-02 12:08:35,2026-03-02 12:08:39
T00279,C002,P04,1,15750, Bayar,2026-03-02 10:04:44,2026-03-02 10:04:45
T00280,C054,P02,1,78000,KIRIM,2026-03-02 13:01:56,2026-03-02 13:02:42
T00281,C007,P03,1,38000,KIRIM,2026-03-02 13:12:08,2026-03-02 13:12:41
T00282,C059,P10,1,285000, Bayar,2026-03-02 15:02:26,2026-03-02 15:02:47
T00283,C099,P20,2,430000,pending,2026-03-02 10:12:28,2026-03-02 10:13:06
T00283,C099,P20,2,430000,pending,2026-03-02 10:12:28,2026-03-02 10:13:06
T00284,C043,P18,1,165750, kirim ,2026-03-02 11:09:11,2026-03-02 11:09:56
T00285,C019,P17,2,165000,batal,2026-03-02 10:10:04,2026-03-02 10:10:08
T00286,C096,P17,1,165000,BAYAR ,2026-03-02 11:45:35,2026-03-02 11:45:59
T00287,C031,P19,1,80100,Batal,2026-03-02 13:10:06,2026-03-02 13:10:49
T00288,C018,P11,2,720000,batal,2026-03-02 12:07:15,2026-03-02 12:07:20
T00289,C027,P11,1,540000,Batal,2026-03-02 11:42:00,2026-03-02 11:42:23
T00290,C042,P10,1,285000, Bayar,2026-03-02 15:31:19,2026-03-02 15:31:58
T00291,C052,P10,2,285000,bayar,2026-03-02 10:22:05,2026-03-02 10:22:17
T00292,C029,P05,1,63750,KIRIM,2026-03-02 09:06:19,2026-03-02 09:07:13
T00293,C009,P03,1,28500,BAYAR ,2026-03-02 13:18:01,2026-03-02 13:18:54
T00294,C074,P11,1,612000,pending,2026-03-02 09:06:54,2026-03-02 09:07:24
T00295,C005,P07,1,265000,Batal,2026-03-02 09:42:12,2026-03-02 09:42:41
